Day;Time /hour;Anemometer reading [m/s]
31/12/1999;24.0;1.5
01/01/2000;1.0;0.5
01/01/2000;2.0;0.5
01/01/2000;3.0;1.0
01/01/2000;4.0;1.5
01/01/2000;5.0;3.0
01/01/2000;6.0;4.5
01/01/2000;7.0;4.0
01/01/2000;8.0;3.5
01/01/2000;9.0;3.0
01/01/2000;10.0;5.0
01/01/2000;11.0;4.5
01/01/2000;12.0;3.6
01/01/2000;13.0;2.7
01/01/2000;14.0;3.2
01/01/2000;15.0;4.1
01/01/2000;16.0;5.0
01/01/2000;17.0;6.7
01/01/2000;18.0;6.5
01/01/2000;19.0;7.8
01/01/2000;20.0;7.9
01/01/2000;21.0;10.0
01/01/2000;22.0;12.7
01/01/2000;23.0;11.4
01/01/2000;24.0;6.8
02/01/2000;1.0;6.9
02/01/2000;2.0;5.3
02/01/2000;3.0;6.9
02/01/2000;4.0;10.0
02/01/2000;5.0;10.3
02/01/2000;6.0;15.9
02/01/2000;7.0;17.0
02/01/2000;8.0;15.7
02/01/2000;9.0;14.2
02/01/2000;10.0;7.5
02/01/2000;11.0;5.4
02/01/2000;12.0;3.9
02/01/2000;13.0;2.8
02/01/2000;14.0;1.8
02/01/2000;15.0;0.9
02/01/2000;16.0;0.5
02/01/2000;17.0;0.9
02/01/2000;18.0;1.4
02/01/2000;19.0;0.9
02/01/2000;20.0;7.3
02/01/2000;21.0;7.6
02/01/2000;22.0;8.1
02/01/2000;23.0;4.3
02/01/2000;24.0;3.2
03/01/2000;1.0;1.3
03/01/2000;2.0;1.0
03/01/2000;3.0;1.9
03/01/2000;4.0;3.7
03/01/2000;5.0;5.6
03/01/2000;6.0;7.0
03/01/2000;7.0;7.6
03/01/2000;8.0;8.1
03/01/2000;9.0;9.9
03/01/2000;10.0;10.3
03/01/2000;11.0;9.0
03/01/2000;12.0;8.4
03/01/2000;13.0;3.2
03/01/2000;14.0;1.8
03/01/2000;15.0;1.0
03/01/2000;16.0;0.9
03/01/2000;17.0;4.5
03/01/2000;18.0;5.8
03/01/2000;19.0;7.9
03/01/2000;20.0;10.7
03/01/2000;21.0;11.5
03/01/2000;22.0;14.2
03/01/2000;23.0;15.9
03/01/2000;24.0;18.9
04/01/2000;1.0;19.0
04/01/2000;2.0;18.7
04/01/2000;3.0;20.3
04/01/2000;4.0;19.3
04/01/2000;5.0;18.4
04/01/2000;6.0;15.5
04/01/2000;7.0;10.2
04/01/2000;8.0;7.9
04/01/2000;9.0;8.7
04/01/2000;10.0;7.5
04/01/2000;11.0;6.1
04/01/2000;12.0;4.7
04/01/2000;13.0;2.5
04/01/2000;14.0;1.9
04/01/2000;15.0;3.7
04/01/2000;16.0;2.6
04/01/2000;17.0;5.8
04/01/2000;18.0;6.4
04/01/2000;19.0;6.8
04/01/2000;20.0;8.0
04/01/2000;21.0;7.7
04/01/2000;22.0;7.6
04/01/2000;23.0;6.9
04/01/2000;24.0;8.5
05/01/2000;1.0;8.8
05/01/2000;2.0;9.4
